station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,1,2.31,47.2,3.4,59.9,4,34.4,3.4
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,2,1.4,51.3,3.5,63.9,4.5,38.7,3.7
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,3,2.81,59.4,3.2,71.6,2.9,47.3,4.3
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,4,2.87,65.4,3.9,78.1,4.1,52.7,4.2
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,5,6.16,72.4,1.8,83.5,2.9,61.2,2.8
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,6,2.1,79.6,1.8,90.4,3,68.7,1.7
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,7,1.74,82,2,93.3,3.5,70.7,1.6
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,8,1.87,82.8,1.6,95.2,3,70.4,0.9
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,9,4.4,76.3,2.5,88.5,3.1,64.1,3.5
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,10,3.44,67,1.7,79.7,2.6,54.2,2.5
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,11,2.06,57.2,3.4,69.7,3.9,44.7,3.5
USC00410832,Comal_2020_19,30.095,-98.4142,399.3,5/26/21,i,2021,12,1.78,49.3,2.4,61.7,3.9,37,3.1
