station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,1,2.11,48.3,3.3,62.4,4.3,34.2,3.1
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,2,1.32,53.2,3.3,67.4,4.6,38.9,3.3
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,3,2.97,60.9,3.4,74.3,3.1,47.4,4.4
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,4,2.71,66.6,3,80.4,3.6,52.9,3
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,5,6.34,74.2,1.8,86.3,2.8,62,1.9
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,6,2.52,80.9,2,92.8,3.1,69,1.6
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,7,3.05,82.9,1.8,95.2,3.3,70.6,1.2
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,8,2.19,83.6,1.6,97.1,3.1,70.1,1.2
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,9,4.72,77.6,2.1,90.2,3.3,65,2.4
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,10,2.31,68.3,1.5,82.1,2.7,54.5,2.2
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,11,1.73,58.4,3.4,71.7,4.5,45.1,3
USC00415742,Bandera_2020_03,29.81,-99.2497,521.8,6/27/21,p,2021,12,1.87,50.1,1.9,63.5,3.3,36.7,2.7
