station.id,site,latitude,longitude,elevation.m,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,1,2.68,49.1,3.6,61,4.1,37.3,3.5
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,2,1.43,53,4,65,5.2,41.1,3.4
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,3,3.05,61.2,3.4,73.1,3.2,49.3,4.1
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,4,2.54,67.3,3.1,79.2,3.6,55.3,2.9
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,5,4.71,74.5,2.2,85.1,2.9,63.9,2.2
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,6,3.37,81.7,2.3,92.7,3.5,70.7,1.8
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,7,3.45,84,2.1,95.2,3.5,72.9,1.2
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,8,1.91,85.2,2,97.3,3.1,73.1,1.2
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,9,4.41,78.7,2.4,89.9,3.7,67.5,2.2
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,10,4.39,68.9,1.8,80.9,2.7,56.9,2.1
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,11,1.94,58.6,3.5,70.1,4,47.2,3.6
USC00410433,Williamson_2019_10,30.4144,-97.7664,268.2,2020,12,2.37,50.6,2.4,61.6,3.3,39.7,2.6
