station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,1,2.54,50.3,3.4,63.4,3.9,37.3,3.6
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,2,1.68,54.4,4,67.3,5.2,41.4,3.5
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,3,3.28,62.3,3.6,75.1,3.1,49.5,4.4
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,4,3.68,68.2,2.9,81,3,55.5,3.2
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,5,4.69,75.7,2.1,86.9,2.6,64.5,2.4
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,6,2.76,82.7,1.7,94,3.2,71.4,1.9
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,7,2.19,84.9,2.3,96.2,3.7,73.7,1.4
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,8,2.89,86.1,1.6,98.4,2.9,73.8,0.7
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,9,3.91,80.2,2,91.8,3.1,68.5,2.4
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,10,3.99,70.1,1.6,84,2.5,56.2,2.6
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,11,2.24,60.3,3.7,73.7,4.1,47,3.9
USC00418415,Fayette_2021_12,30.0092,-97.1644,96.6,5/28/21,i,2021,12,2.97,52,2.9,64.7,4.2,39.4,3.1
