station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,1,3.51,51.6,3.6,63.2,4.7,40.1,3.6
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,2,2.26,56.3,4.4,67.6,5.4,45.1,4.6
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,3,3.49,63.6,3.9,74.9,3.7,52.3,4.6
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,4,3.66,69.2,2.7,80.6,3.6,57.9,2.5
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,5,4.93,76.7,1.9,87,2.7,66.5,2.8
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,6,3.62,83,1.7,93.6,2.5,72.4,2.7
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,7,3.2,84.8,2.3,95.6,3,74.1,2.5
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,8,3.59,86.3,2,98.3,2.9,74.3,2.3
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,9,3.42,80.8,2.5,92.1,3.2,69.5,3.7
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,10,3.92,72.2,2.4,84.9,2.8,59.6,4.1
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,11,3.1,62.3,4,74.3,4.7,50.4,4.2
USC00411911,Fayette_2020_19,29.6989,-96.5731,68.6,5/29/21,i,2021,12,2.98,54.7,2.8,65.8,4.1,43.6,3.4
