station.id,site,latitude,longitude,elevation.m,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,1,1.15,45.3,3,60.9,4.5,29.6,3.2
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,2,1.16,50.2,3.6,66.2,4.8,34.2,3.2
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,3,2.07,57.9,3.2,72.4,3,43.5,4.2
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,4,2.03,64.3,3.1,78.8,3.6,49.8,3.3
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,5,4.65,71.7,1.7,84.3,3.1,59.2,1.6
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,6,2,78.9,2.1,90.7,3,67,1.9
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,7,1.9,80.5,2.1,92.3,3,68.7,1.8
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,8,2.22,80.8,1.5,93.4,2.7,68.2,1.2
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,9,4.39,74.6,2.2,87.3,2.9,61.8,2.6
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,10,2.68,65.1,1.5,80,2.8,50.2,2.8
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,11,1.17,55.3,3,70.4,3.7,40.2,4.1
USC00417232,Edwards_2019_17,29.9167,-99.7908,625.4,2020,12,1.53,46.1,2.8,62,3.8,30.1,4.4
