station.id,site,latitude,longitude,elevation.m,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,1,2.31,47.2,3.4,59.9,4,34.4,3.4
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,2,1.4,51.3,3.5,63.9,4.5,38.7,3.7
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,3,2.81,59.4,3.2,71.6,2.9,47.3,4.3
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,4,2.87,65.4,3.9,78.1,4.1,52.7,4.2
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,5,6.16,72.4,1.8,83.5,2.9,61.2,2.8
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,6,2.1,79.6,1.8,90.4,3,68.7,1.7
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,7,1.74,82,2,93.3,3.5,70.7,1.6
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,8,1.87,82.8,1.6,95.2,3,70.4,0.9
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,9,4.4,76.3,2.5,88.5,3.1,64.1,3.5
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,10,3.44,67,1.7,79.7,2.6,54.2,2.5
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,11,2.06,57.2,3.4,69.7,3.9,44.7,3.5
USC00410832,Blanco_2019_16,30.095,-98.4142,399.3,2020,12,1.78,49.3,2.4,61.7,3.9,37,3.1
