station.id,site,latitude,longitude,elevation.m,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,1,1.42,46.6,3.5,58.5,4.4,34.7,3.2
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,2,1.48,50.8,3.9,63.1,5.1,38.4,3.4
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,3,2.49,59.3,3.3,71.5,3.3,47.2,4.3
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,4,2.38,66,3,78.1,3.8,53.8,2.9
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,5,4.41,73.4,1.9,83.6,2.9,63.1,2
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,6,2.47,80.7,2.2,91.4,2.9,69.9,1.8
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,7,1.99,82.9,2.3,93.8,3.1,71.9,1.7
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,8,2.04,83.7,2.3,94.8,3.1,72.6,1.7
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,9,2.72,76.5,2.5,86.9,3.5,66,2.2
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,10,2.5,66.9,2.4,78.9,3.5,54.8,2.2
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,11,1.31,57,3.1,68.7,3.8,45.3,3.1
USC00411017,Menard_2020_01,31.1444,-99.3492,521.5,2021,12,1.39,48.3,2.6,60.1,3.5,36.5,2.7
