station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,month,norm.precip,norm.tavg,norm.tavg.sd,norm.tmax,norm.tmax.sd,norm.tmin,norm.tmin.sd
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,1,3.71,50.3,3.9,61.2,4.3,39.3,3.8
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,2,3.16,54.1,4.1,65.1,4.9,43,4
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,3,4.24,61.7,4.1,72.6,3.6,50.7,4.8
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,4,3.95,67.6,3,78.7,3.2,56.5,3.1
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,5,6.34,74.9,1.8,84.8,2.1,65,2.2
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,6,3.61,81.6,1.7,91.6,2.5,71.7,1.8
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,7,2.79,83.7,1.9,93.4,2.9,74,1.3
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,8,3.97,84.8,1.8,95.3,2.7,74.3,1.2
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,9,3.85,79.2,2.2,89.6,2.9,68.9,2.7
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,10,4.27,69.8,1.7,81.7,2.4,57.8,2.2
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,11,3.64,60,3.4,71.4,3.8,48.6,3.3
USC00411048,Fayette_2019_04,30.1592,-96.3972,95.4,6/20/20,i,2020,12,3.62,52.5,2.9,63.3,3.8,41.7,3.2
