"resp","pred","r2_marg","r2_cond","std_est","z_score","p_val"
"marea","beta",0.05,0.79,-0.035,-2.574,"0.01"
"marea","chi",0.05,0.79,-0.034,-1.798,"0.072"
"marea","soil.no3n",0.05,0.79,-0.051,-3.928,"<0.001"
"marea","wn3_perc",0.05,0.79,-0.047,-3.228,"0.001"
"marea","photo",0.05,0.79,0.078,1.254,"0.21"
"marea","n.fixer",0.05,0.79,-0.014,-0.239,"0.811"
"chi","vpd4",0.52,0.68,-0.154,-2.879,"0.004"
"chi","tavg4",0.52,0.68,0.071,1.696,"0.09"
"chi","wn3_perc",0.52,0.68,-0.093,-1.877,"0.061"
"chi","photo",0.52,0.68,0.856,9.862,"<0.001"
"beta","soil.no3n",0.37,0.44,-0.174,-4.113,"<0.001"
"beta","wn3_perc",0.37,0.44,-0.089,-1.913,"0.056"
"beta","chi",0.37,0.44,0.605,13.743,"<0.001"
"beta","n.fixer",0.37,0.44,-0.062,-0.982,"0.326"
"soil.no3n","wn3_perc",0.15,0.39,0.408,9.041,"<0.001"
"vpd4","tavg4",0.34,0.49,-0.547,-15.794,"<0.001"
