station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,additive.precip,incremental.precip,accumulated.precip,atm.pressure,sea.level.pressure
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 00:00 UTC,27.78,71,0,,,19.812,98011.3,101028.77
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 00:46 UTC,27.22,74,0,,,19.812,98044.1,101068.27
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 01:00 UTC,26.67,73,0,,,19.812,98109.71,101141.54
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 01:30 UTC,26.11,73,0,,,19.812,98142.51,101181.11
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 02:16 UTC,25.56,79,0,,,19.812,98142.51,101186.76
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 02:31 UTC,25,81,0,,,19.812,98175.31,101226.37
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 02:46 UTC,25,82,0,,,19.812,98175.31,101226.37
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 03:01 UTC,25,81,0,,,19.812,98175.31,101226.37
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 03:30 UTC,25.56,80,0,,,19.812,98208.11,101254.39
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 03:45 UTC,25,80,0,,,19.812,98240.91,101294.01
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 04:01 UTC,25,80,0,,,19.812,98240.91,101294.01
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 04:31 UTC,25,80,0,,,19.812,98273.71,101327.83
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 04:46 UTC,25,81,0,,,19.812,98306.52,101361.66
D6536,Williamson_2019_10,30.52783,-97.78317,267.9192,6/19/20,i,2020,07/01/2019 05:01 UTC,24.44,81,0,,,0,98273.71,101333.66
