station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.direction,wind.gust,incremental.precip,atm.pressure,sea.level.pressure
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 00:15 UTC,27.9,79.43,0,0,,,99720.07,101407.5
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 00:35 UTC,27.8,77.06,1.54,100,,,99720.07,101408.07
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 00:55 UTC,27.5,78.9,0,0,,,99753.34,101443.6
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 01:15 UTC,27.1,81.25,1.54,150,,,99786.62,101479.71
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 01:35 UTC,26.9,81.71,0,0,,,99786.62,101480.85
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 01:55 UTC,26.4,86.72,0,0,,,99786.62,101483.68
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 02:15 UTC,26,88.78,0,0,,,99819.89,101519.81
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 02:35 UTC,25.8,90.38,0,0,,,99819.89,101520.95
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 02:55 UTC,26,88.78,0,0,,,99853.16,101553.64
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 03:15 UTC,25.5,91.45,0,0,,,99853.16,101556.51
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 03:35 UTC,25.6,88.22,0,0,,,99853.16,101555.94
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 03:55 UTC,25.5,88.74,0,0,,,99886.44,101590.36
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 04:15 UTC,25.5,89.28,0,0,,,99886.44,101590.36
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 04:35 UTC,25.2,90.34,0,0,,,99886.44,101592.09
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 04:55 UTC,25.1,88.71,0,0,,,99919.71,101626.51
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 05:15 UTC,25.2,86.6,1.54,190,,,99952.99,101659.79
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 05:35 UTC,25.3,85.05,0,0,,,99952.99,101659.21
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 05:55 UTC,25.1,87.12,0,0,,,99919.71,101626.51
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 06:15 UTC,24.8,88.69,0,0,,,99919.71,101628.25
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 06:35 UTC,24.5,90.84,0,0,,,99919.71,101629.98
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 06:55 UTC,24.5,90.84,0,0,,,99919.71,101629.98
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 07:15 UTC,24.5,91.39,1.54,200,,,99919.71,101629.98
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 07:35 UTC,24.6,90.84,0,0,,,99919.71,101629.4
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 07:55 UTC,24.5,91.39,0,0,,,99919.71,101629.98
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 08:15 UTC,24.5,91.94,0,0,,,99919.71,101629.97
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 08:35 UTC,24.5,91.39,0,0,,,99919.71,101629.98
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 08:55 UTC,24.2,93.04,0,0,,,99886.44,101597.87
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 09:15 UTC,24,94.16,0,0,,,99919.71,101632.87
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 09:35 UTC,23.9,94.73,0,0,,,99886.44,101599.61
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 09:55 UTC,23.7,95.87,0,0,,,99919.71,101634.62
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 10:15 UTC,23.6,97.03,0,0,,,99886.44,101601.36
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 10:35 UTC,23.5,97.03,0,0,,,99919.71,101635.78
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 10:55 UTC,23.5,97.62,0,0,,,99919.71,101635.78
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 11:15 UTC,23.5,97.62,0,0,,,99952.99,101669.63
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 11:35 UTC,23.7,98.8,0,0,,,99952.99,101668.46
KGYB,Russel_2020_01,30.16917,-96.8,148.1328,6/21/20,i,2020,07/01/2019 11:55 UTC,23.8,98.21,0,0,,,99952.99,101667.88
