station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.gust,accumulated.precip,wind.cardinaldirection,atm.pressure,sea.level.pressure
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:01 CDT,16.67,41,1.34,3.58,0,NNE,101235.93,102328.14
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:07 CDT,16.67,41,1.34,3.13,0,NE,101235.93,102328.14
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:12 CDT,16.11,44,0.9,2.23,0,NNE,101235.93,102330.26
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:17 CDT,16.11,44,0.9,2.23,0,NNE,101235.93,102330.26
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:22 CDT,15.56,45,0.9,1.79,0,NE,101235.93,102332.35
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:27 CDT,15.56,46,0.45,1.79,0,NE,101235.93,102332.35
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:32 CDT,15.56,47,0.45,1.79,0,NNE,101235.93,102332.35
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:37 CDT,15,48,0.45,1.34,0,NNE,101235.93,102334.49
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:42 CDT,15,49,0.45,1.34,0,NNE,101235.93,102334.49
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:47 CDT,14.44,50,0,1.34,0,,101235.93,102336.64
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:52 CDT,14.44,50,0,0.9,0,,101235.93,102336.64
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 19:57 CDT,13.89,55,0,0,0,,101235.93,102338.76
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:02 CDT,13.89,58,0,0.45,0,,101235.93,102338.75
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:07 CDT,13.33,60,0,0.45,0,,101235.93,102340.92
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:12 CDT,12.78,59,0,0,0,,101235.93,102343.06
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:17 CDT,12.22,60,0,0,0,,101235.93,102345.24
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:23 CDT,11.67,61,0,0,0,,101235.93,102347.39
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:28 CDT,11.67,62,0,0,0,,101235.93,102347.39
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:33 CDT,11.11,62,0,0,0,,101235.93,102349.59
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:38 CDT,11.11,63,0,0,0,,101235.93,102349.59
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:43 CDT,11.11,64,0,0,0,,101202.42,102315.71
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:48 CDT,10.56,66,0,0,0,,101235.93,102351.76
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:53 CDT,10.56,66,0,0,0,,101202.42,102317.88
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 20:58 CDT,10.56,68,0,0,0,,101235.93,102351.76
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 21:04 CDT,10,68,0,0,0,,101235.93,102353.98
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 21:09 CDT,10,68,0,0,0,,101235.93,102353.98
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 21:14 CDT,10,68,0,0,0,,101235.93,102353.98
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 21:20 CDT,10,70,0,0,0,,101269.42,102387.84
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 21:25 CDT,10,71,0,0,0,,101235.93,102353.97
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 21:30 CDT,9.44,70,0,0,0,,101269.42,102390.06
F1562,Brazos_2020_16,30.8717,-96.0145,91.1352,5/30/21,i,2021,04/21/2021 21:35 CDT,9.44,71,0,0,0,,101269.42,102390.06
