station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.gust,accumulated.precip,wind.cardinal.direction,atm.pressure,sea.level.pressure
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 19:03 CDT,27.78,54,1.34,3.13,0,SW,95518.51,99097.71
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 19:13 CDT,27.78,55,0.9,3.58,0,SW,95518.51,99097.71
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 19:23 CDT,27.22,56,0.9,3.58,0,SW,95518.51,99104.49
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 19:33 CDT,27.22,58,0.9,2.68,0,WSW,95518.51,99104.47
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 19:43 CDT,26.67,59,0.45,1.79,0,WSW,95518.51,99111.15
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 19:53 CDT,26.11,61,0.45,1.79,0,WSW,95518.51,99117.98
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 20:04 CDT,26.11,62,0,0,0,,95551.08,99151.77
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 20:14 CDT,25.56,64,0,0.9,0,,95551.08,99158.5
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 20:24 CDT,25,68,0.45,1.79,0,WSW,95551.08,99165.36
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 20:34 CDT,24.44,70,0.45,1.79,0,WSW,95551.08,99172.27
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 20:44 CDT,24.44,71,0.45,1.79,0,WSW,95583.66,99206.08
C2989,Williamson_2019_09,30.67183,-97.91983,325.2216,6/19/20,i,2020,04/20/2020 20:55 CDT,24.44,73,0.45,2.23,0,WSW,95583.66,99206.07
