station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,air.temp,relative.humidity,wind.speed,wind.gust,accumulated.rpecip,wind.cardinal direction,atm.pressure,sea.level.pressure
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 19:00 CDT,18.89,33,0.9,3.58,0,ENE,101855.73,102763.22
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 19:16 CDT,17.78,37,0.45,1.34,0,ENE,101889.3,102800.57
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 19:30 CDT,16.67,39,0.9,1.79,0,ENE,101855.73,102770.2
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 19:46 CDT,15.56,41,0,0.45,0,,101889.3,102807.6
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 20:02 CDT,15,42,0,0.45,0,,101889.3,102809.39
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 20:16 CDT,14.44,44,0,0,0,,101889.3,102811.19
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 20:31 CDT,12.22,49,0,0,0,,101922.85,102852.25
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 20:46 CDT,11.11,66,0,0,0,,101922.85,102855.88
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 21:15 CDT,9.44,74,0,0,0,,101922.85,102861.41
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 21:31 CDT,8.89,74,0,0,0,,101956.42,102897.13
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 21:46 CDT,8.33,73,0,0,0,,101956.42,102899.01
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 22:00 CDT,8.33,76,0,0,0,,101989.98,102932.88
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 22:16 CDT,7.78,75,0,0,0,,101956.42,102900.87
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 22:31 CDT,7.22,77,0,0,0,,101956.42,102902.76
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 22:46 CDT,6.67,79,0,0,0,,101956.42,102904.63
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 23:00 CDT,6.67,82,0,0,0,,101956.42,102904.63
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 23:16 CDT,6.11,83,0,0,0,,101922.85,102872.65
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 23:30 CDT,5.56,83,0,0,0,,101922.85,102874.53
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/01/2021 23:46 CDT,6.11,84,0,0,0,,101922.85,102872.65
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 00:16 CDT,5.56,85,0,0,0,,101922.85,102874.53
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 00:30 CDT,5,85,0,0,0,,101922.85,102876.46
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 00:45 CDT,5,86,0,0,0,,101922.85,102876.46
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 01:16 CDT,4.44,87,0,0,0,,101922.85,102878.39
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 01:30 CDT,4.44,87,0,0,0,,101922.85,102878.39
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 01:46 CDT,3.89,89,0,0,0,,101922.85,102880.29
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 02:16 CDT,3.89,89,0,0,0,,101922.85,102880.29
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 02:30 CDT,3.33,90,0,0,0,,101922.85,102882.24
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 02:45 CDT,3.33,90,0,0,0,,101922.85,102882.24
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 03:16 CDT,3.33,91,0,0,0,,101922.85,102882.24
F2569,Brazos_2020_18,30.4733,-96.4792,75.8952,5/30/21,i,2021,04/02/2021 03:31 CDT,3.33,91,0,0,0,,101922.85,102882.24
