"local.date","property","sampling.year","t.mean","t.max","t.min","relative.humidity","daily.precip","sea.level.pressure","atm.pressure"
2020-06-29,"Austin_2020_03",2021,28.4253333333333,29.72,27.5,84.2333333333333,0,101120.528333333,100494.492333333
2020-06-30,"Austin_2020_03",2021,29.1979166666667,32.8716666666667,26.67,81.7916666666667,0,101184.734097222,100559.866736111
2020-07-01,"Austin_2020_03",2021,29.2900694444444,33.33,26.39,81.7013888888889,0,101222.163541667,100597.251319444
2020-07-02,"Austin_2020_03",2021,29.5019305555556,33.89,26.11,79.6111111111111,0,101409.441111111,100783.789069444
2020-07-03,"Austin_2020_03",2021,28.5648611111111,33.5166666666667,24.2566666666667,77.8541666666667,0,101475.977430556,100847.946319444
2020-07-04,"Austin_2020_03",2021,28.4071944444444,33.4233333333333,22.9633333333333,76.1277777777778,0,101305.837194444,100678.510152778
2020-07-05,"Austin_2020_03",2021,28.3574722222222,33.1466666666667,24.44,80.7347222222222,0,101106.117416667,100479.961458333
2020-07-06,"Austin_2020_03",2021,29.2865972222222,33.795,26.11,79.3055555555556,0,101196.792222222,100572.016319444
2020-07-07,"Austin_2020_03",2021,29.1326388888889,34.165,25.3733333333333,79.1527777777778,0,101329.258125,100703.325138889
2020-07-08,"Austin_2020_03",2021,29.4134027777778,33.9816666666667,26.11,78.7152777777778,0,101283.301111111,100658.23125
2020-07-09,"Austin_2020_03",2021,29.531,34.8133333333333,25.56,78.2222222222222,0,101263.277166667,100638.56
2020-07-10,"Austin_2020_03",2021,29.9625694444444,35.65,25,77.3888888888889,0,101541.267708333,100915.700694444
2020-07-11,"Austin_2020_03",2021,30.14,36.11,25.56,75.4930555555556,0,101563.239236111,100937.896111111
2020-07-12,"Austin_2020_03",2021,29.1969305555556,34.9066666666667,25,79.075,0,101367.605791667,100741.546069444
2020-07-13,"Austin_2020_03",2021,30.4302777777778,36.945,26.11,73.4291666666667,0,101220.120736111,100597.484375
2020-07-14,"Austin_2020_03",2021,29.628,35.835,25.0933333333333,75.2,0,101311.816958333,100686.971180556
2020-07-15,"Austin_2020_03",2021,29.7964583333333,35.835,25,72.7083333333333,0,101456.99125,100831.592152778
